Fecha;Hora Movimiento HHMM;Clase de Vuelo;Clasificaci?n Vuelo;Tipo de Movimiento;Origen OACI;Destino OACI;Aerolinea Nombre;Aeronave;Aeronave APC
16/08/2014;16:50;Vuelo Privado con Matrícula Nacional;Cabotaje;Aterrizaje;SAVO;SADM;N/A;CESSNA C-150;A
30/07/2014;11:22;Regular;Cabotaje;Aterrizaje;SABE;SANT;Aerolíneas Argentinas;BOEING B-737;D
02/09/2017;13:49;Regular;Cabotaje;Aterrizaje;SAEZ;SAWC;Aerolíneas Argentinas;BOEING B-737;D
21/09/2014;10:23;Regular;Internacional;Aterrizaje;EDDF;SAEZ;Lufthansa;BOEING B-747;D
19/08/2015;10:09;Regular;Cabotaje;Aterrizaje;SABE;SANU;Austral Líneas Aéreas;EMBRAER E-190;C
23/05/2014;22:14;Regular;Cabotaje;Despegue;SARI;SAEZ;Aerolíneas Argentinas;BOEING B-737;C
03/06/2014;20:12;Regular;Cabotaje;Despegue;SABE;SAME;Austral Líneas Aéreas;EMBRAER E-190;C
16/10/2014;20:33;Regular;Cabotaje;Despegue;SASA;SABE;Aerolíneas Argentinas;BOEING B-737;C
03/01/2018;12:44;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SAZM;SADF;N/A;PIPER PA-46;A
06/03/2014;15:35;No Regular;Cabotaje;Despegue;SAME;AR-0346;N/A;LEARJET LJ-60;C
12/11/2016;23:17;Regular;Cabotaje;Aterrizaje;SABE;SANT;LATAM Argentina;AIRBUS A-320;C
25/02/2017;22:48;Regular;Internacional;Despegue;SACO;SCEL;LATAM;AIRBUS A-320;C
30/03/2017;13:11;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SADF;SADF;N/A;CESSNA C-150;A
03/12/2014;12:35;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SADM;SADM;N/A;AERO BOERO AB95;A
01/12/2016;19:50;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SAAR;AR-0280;N/A;CESSNA C-182;B
04/08/2017;11:45;Regular;Cabotaje;Aterrizaje;SAME;SABE;Aerolíneas Argentinas;BOEING B-737;D
08/01/2015;08:29;No Regular;Internacional;Aterrizaje;SUMU;SAEZ;LATAM Cargo Uruguay;FAIRCHILD SW3;B
31/12/2016;03:12;Regular;Internacional;Despegue;SAEZ;LEMD;Aerolíneas Argentinas;AIRBUS A-330;C
12/07/2015;18:17;Regular;Cabotaje;Aterrizaje;SAZS;SAAR;Aerolíneas Argentinas;BOEING B-737;D
29/01/2014;16:54;Regular;Cabotaje;Aterrizaje;SAZN;SAVC;SOL Líneas Aéreas;SAAB SF34;B
13/02/2015;21:26;No Regular;Cabotaje;Despegue;SAAP;SADF;N/A;LEARJET LJ-60;C
31/10/2017;01:54;Regular;Internacional;Despegue;SAEZ;LEMD;Iberia Airlines;AIRBUS A-340;D
16/05/2014;18:04;Regular;Cabotaje;Despegue;SAWE;SAWH;LADE - Líneas Aéreas Del Estado;FOKKER F28;C
08/06/2014;16:13;Regular;Cabotaje;Despegue;SASA;SABE;Aerolíneas Argentinas;BOEING B-737;D
27/01/2018;10:20;Vuelo Privado con Matrícula Nacional;Internacional;Aterrizaje;SBFL;SADF;N/A;BOMBARDIER CL-600;C
25/01/2016;22:40;Regular;Cabotaje;Despegue;SACO;SABE;Austral Líneas Aéreas;EMBRAER E-190;C
11/05/2015;15:38;Regular;Cabotaje;Aterrizaje;SABE;SAZS;Aerolíneas Argentinas;BOEING B-737;D
06/05/2017;00:53;Regular;Cabotaje;Aterrizaje;SANT;SABE;Aerolíneas Argentinas;BOEING B-737;D
23/04/2015;16:16;Regular;Cabotaje;Aterrizaje;SAZN;SAVC;Aerolíneas Argentinas;BOEING B-737;D
11/07/2016;10:23;Regular;Cabotaje;Despegue;SABE;SANE;Austral Líneas Aéreas;EMBRAER E-190;C
14/11/2017;09:46;Regular;Cabotaje;Despegue;SABE;SANT;LATAM Argentina;AIRBUS A-320;C
11/02/2016;13:24;Regular;Cabotaje;Despegue;SAZB;SABE;Aerolíneas Argentinas;BOEING B-737;C
20/10/2016;13:00;Regular;Cabotaje;Despegue;SAZM;SABE;Austral Líneas Aéreas;EMBRAER E-190;C
04/07/2015;13:43;No Regular;Cabotaje;Aterrizaje;SADF;SAME;N/A;PIPER PA-31;A
17/06/2017;01:27;Regular;Cabotaje;Aterrizaje;SAME;SABE;Aerolíneas Argentinas;BOEING B-737;D
21/01/2017;14:23;Vuelo Privado con Matrícula Nacional;Cabotaje;Aterrizaje;SARP;SARP;N/A;CESSNA C-182;B
06/08/2014;21:02;No Regular;Cabotaje;Aterrizaje;SAVC;SAWH;N/A;LEARJET LJ-35;C
11/05/2017;14:51;No Regular;Cabotaje;Aterrizaje;AR-0369;SAZN;American Jet;DORNIER DO28;A
30/04/2017;17:58;Regular;Cabotaje;Despegue;SAZN;SACO;Austral Líneas Aéreas;EMBRAER E-190;C
07/01/2017;20:38;Regular;Cabotaje;Aterrizaje;SAVC;SABE;Aerolíneas Argentinas;BOEING B-737;D
01/02/2015;20:34;Vuelo Privado con Matrícula Nacional;Cabotaje;Aterrizaje;SA04;SADM;N/A;CESSNA C-152;A
26/05/2014;23:27;Regular;Cabotaje;Despegue;SASA;SABE;LATAM Argentina;AIRBUS A-320;C
14/02/2017;14:16;Regular;Cabotaje;Aterrizaje;SABE;SANT;Aerolíneas Argentinas;BOEING B-737;D
14/10/2017;00:50;Vuelo Privado con Matrícula Nacional;Internacional;Aterrizaje;SULS;SABE;N/A;LEARJET LJ-60;C
31/10/2015;10:41;No Regular;Internacional;Despegue;SABE;SLVR;N/A;LEARJET LJ-60;C
01/03/2016;22:52;Regular;Cabotaje;Aterrizaje;SAZB;SABE;Austral Líneas Aéreas;EMBRAER E-190;C
03/05/2016;14:29;Regular;Internacional;Despegue;SAME;SCEL;LATAM;AIRBUS A-320;C
07/08/2016;20:42;Regular;Cabotaje;Despegue;SAWC;SABE;Aerolíneas Argentinas;BOEING B-737;C
18/10/2015;13:05;Regular;Internacional;Aterrizaje;MMMX;SAEZ;Aeroméxico;BOEING B-787;C
08/04/2015;21:40;Regular;Internacional;Aterrizaje;SCEL;SAEZ;LATAM;BOEING B-787;C
11/12/2014;12:33;Regular;Cabotaje;Aterrizaje;SABE;SAWH;Aerolíneas Argentinas;BOEING B-737;D
13/01/2017;00:05;Regular;Internacional;Aterrizaje;SBGR;SAEZ;Qatar Airways;BOEING B-777;C
09/12/2016;01:32;Regular;Internacional;Aterrizaje;SBGR;SAEZ;Turkish Airlines;BOEING B-777;C
20/01/2017;15:42;Regular;Cabotaje;Aterrizaje;SAWH;SABE;Aerolíneas Argentinas;BOEING B-737;D
03/02/2017;12:02;Regular;Cabotaje;Despegue;SABE;SARI;Austral Líneas Aéreas;EMBRAER E-190;C
06/10/2016;20:41;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SABE;SADM;N/A;LEARJET LJ-35;C
25/11/2014;16:08;Regular;Cabotaje;Aterrizaje;SABE;SANC;Austral Líneas Aéreas;EMBRAER E-190;C
10/02/2017;16:07;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SADF;SABE;N/A;LEARJET LJ-60;C
27/05/2014;14:47;Regular;Cabotaje;Aterrizaje;SAZB;SABE;LATAM Argentina;AIRBUS A-320;C
09/05/2015;18:32;Regular;Cabotaje;Despegue;SACO;SAZS;Austral Líneas Aéreas;EMBRAER E-190;C
20/08/2017;21:30;Regular;Cabotaje;Despegue;SABE;SASJ;Austral Líneas Aéreas;EMBRAER E-190;C
05/11/2016;16:51;Regular;Internacional;Aterrizaje;SBPA;SABE;Austral Líneas Aéreas;EMBRAER E-190;C
29/09/2016;14:26;Regular;Cabotaje;Despegue;SABE;SARI;LATAM Argentina;AIRBUS A-320;C
02/02/2017;02:20;Regular;Cabotaje;Aterrizaje;SABE;SACO;LATAM Argentina;AIRBUS A-320;C
14/11/2017;17:52;Vuelo Privado con Matrícula Nacional;Internacional;Aterrizaje;SULS;SADF;N/A;LEARJET LJ-35;C
26/09/2017;22:08;Regular;Cabotaje;Aterrizaje;SABE;SAAP;Aerolíneas Argentinas;BOEING B-737;C
18/11/2016;17:25;Regular;Cabotaje;Aterrizaje;SAVT;SABE;Aerolíneas Argentinas;BOEING B-737;D
16/10/2014;16:45;Regular;Cabotaje;Despegue;SABE;SAOU;Austral Líneas Aéreas;EMBRAER E-190;C
28/03/2014;20:10;Regular;Cabotaje;Despegue;SABE;SAZN;LATAM Argentina;AIRBUS A-320;C
23/11/2015;14:56;No Regular;Cabotaje;Aterrizaje;SAZM;SAZB;SOL Líneas Aéreas;SAAB SF34;B
16/06/2015;14:58;Regular;Cabotaje;Despegue;SABE;SAZS;Aerolíneas Argentinas;BOEING B-737;D
30/06/2015;14:48;Regular;Cabotaje;Aterrizaje;SACO;SANT;Aerolíneas Argentinas;BOEING B-737;C
02/03/2016;14:16;Vuelo Privado con Matrícula Nacional;Cabotaje;Aterrizaje;AR-0354;SAZM;N/A;CESSNA C-172;A
06/05/2017;00:34;Regular;Cabotaje;Despegue;SAEZ;SAAR;Austral Líneas Aéreas;EMBRAER E-190;C
12/10/2016;02:48;No Regular;Cabotaje;Despegue;SAZB;SABE;N/A;LEARJET LJ-35;C
27/10/2014;11:30;Vuelo Privado con Matrícula Nacional;Cabotaje;Despegue;SADF;SARP;N/A;TED SMITH Aerostar;B
